year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2015,"Software developers, applications & systems software","15113X","Computer and Information Sciences and Support Services","11",103011.0,2235.08,340605,11271.4,9.50379
2015,"Computer programmers","151131","Computer and Information Sciences and Support Services","11",87464.0,2762.85,120747,7421.58,10.7871
2015,"Miscellaneous managers","119XXX","Computer and Information Sciences and Support Services","11",125483.0,4607.12,92620,5704.44,1.08732
2015,"Other Computer Occupations","151199","Computer and Information Sciences and Support Services","11",83247.4,4014.7,89949,6812.33,7.89174
2015,"Computer & information systems managers","113021","Computer and Information Sciences and Support Services","11",117913.0,3889.61,89157,5338.58,5.76115
2015,"Computer support specialists","151150","Computer and Information Sciences and Support Services","11",70392.1,3543.66,75318,5012.89,6.9407
2015,"Computer systems analysts","151121","Computer and Information Sciences and Support Services","11",86740.9,3745.05,56121,4700.36,4.39928
2015,"Network & computer systems administrators","151142","Computer and Information Sciences and Support Services","11",72028.4,3049.98,35715,4000.37,9.04273
2015,"Management analysts","131111","Computer and Information Sciences and Support Services","11",108010.0,9544.35,34964,3993.85,1.73712
2015,"Postsecondary teachers","251000","Computer and Information Sciences and Support Services","11",61751.9,6987.28,29483,3341.63,0.589183
2015,"Computer network architects","151143","Computer and Information Sciences and Support Services","11",100714.0,5846.29,22530,2424.22,9.9723
2015,"Chief executives & legislators","1110XX","Computer and Information Sciences and Support Services","11",190687.0,19954.7,22246,3074.14,0.752563
2015,"Elementary & middle school teachers","252020","Computer and Information Sciences and Support Services","11",48118.6,3172.64,22171,2658.38,0.183225
2015,"Web developers","151134","Computer and Information Sciences and Support Services","11",67515.8,4726.07,20629,2971.92,4.79104
2015,"Firstline supervisors of retail sales workers","411011","Computer and Information Sciences and Support Services","11",74023.3,11409.1,18806,2827.22,0.738528
2015,"Miscellaneous engineers, including nuclear engineers","1721YY","Computer and Information Sciences and Support Services","11",116826.0,8405.09,18242,2659.17,1.12935
2015,"Information security analysts","151122","Computer and Information Sciences and Support Services","11",87324.2,7014.04,17707,3021.93,10.8438
2015,"Database administrators","151141","Computer and Information Sciences and Support Services","11",90830.3,6504.48,17017,2363.67,5.58213
2015,"Accountants & auditors","132011","Computer and Information Sciences and Support Services","11",72087.0,7411.56,16493,2747.05,0.310846
2015,"Customer service representatives","434051","Computer and Information Sciences and Support Services","11",49580.7,6709.67,16112,2378.87,0.716268
2015,"Firstline supervisors of nonretail sales workers","411012","Computer and Information Sciences and Support Services","11",117529.0,12126.5,15167,2776.69,0.859026
2015,"Financial managers","113031","Computer and Information Sciences and Support Services","11",132758.0,18758.0,14721,2944.31,0.557251
2015,"Computer, automated teller, & office machine repairers","492011","Computer and Information Sciences and Support Services","11",52142.5,7486.7,14619,3020.2,8.28524
2015,"Firstline supervisors of office & administrative support workers","431011","Computer and Information Sciences and Support Services","11",72953.7,8492.34,14579,2407.64,0.871662
2015,"Retail salespersons","412031","Computer and Information Sciences and Support Services","11",56292.7,15714.5,11944,2186.77,0.495183
2015,"Marketing & sales managers","112020","Computer and Information Sciences and Support Services","11",122370.0,22390.9,11646,1990.33,0.497262
2015,"General & operations managers","111021","Computer and Information Sciences and Support Services","11",90042.3,11762.5,10696,2014.89,0.726686
2015,"Computer hardware engineers","172061","Computer and Information Sciences and Support Services","11",98950.2,11120.6,10151,2239.57,6.87917
2015,"Secretaries & administrative assistants","436010","Computer and Information Sciences and Support Services","11",38336.5,4875.59,9955,1962.67,0.37471
2015,"Sales representatives, wholesale & manufacturing","414010","Computer and Information Sciences and Support Services","11",101211.0,15314.7,9303,1629.62,0.39471
2015,"Designers","271020","Computer and Information Sciences and Support Services","11",69384.1,10880.0,8802,1865.57,0.57534
2015,"Registered nurses","291141","Computer and Information Sciences and Support Services","11",65588.2,7465.98,8796,1902.76,0.129767
2015,"Sales representatives, services, all other","413099","Computer and Information Sciences and Support Services","11",129032.0,20972.5,8607,1747.58,0.761956
2015,"Education administrators","119030","Computer and Information Sciences and Support Services","11",70293.4,9639.94,8377,1959.65,0.322968
2015,"Lawyers, & judges, magistrates, & other judicial workers","2310XX","Computer and Information Sciences and Support Services","11",130468.0,15912.7,8167,1998.67,0.234344
2015,"Architectural & engineering managers","119041","Computer and Information Sciences and Support Services","11",174847.0,16262.5,8042,1713.66,1.68678
2015,"Business operations specialists, all other","131199","Computer and Information Sciences and Support Services","11",92708.2,16853.9,7719,1902.74,1.15528
2015,"Operations research analysts","152031","Computer and Information Sciences and Support Services","11",91769.5,7710.38,7285,1804.82,2.01479
2015,"Security guards & gaming surveillance officers","339030","Computer and Information Sciences and Support Services","11",45025.6,9792.06,6528,1939.84,1.26587
2015,"Architects, except naval","171010","Computer and Information Sciences and Support Services","11",120973.0,12520.5,6269,1719.32,1.21688
2015,"Office clerks, general","439061","Computer and Information Sciences and Support Services","11",33622.1,8531.89,6109,1914.25,0.590288
2015,"Inspectors, testers, sorters, samplers, & weighers","519061","Computer and Information Sciences and Support Services","11",68645.5,8346.1,5862,1730.36,1.24305
2015,"Electrical & electronics engineers","172070","Computer and Information Sciences and Support Services","11",103880.0,9881.83,5819,1808.61,0.945389
2015,"Computer operators","439011","Computer and Information Sciences and Support Services","11",62364.9,12583.3,5813,1498.96,5.33522
2015,"Driver/sales workers & truck drivers","533030","Computer and Information Sciences and Support Services","11",46798.7,9210.31,5803,1459.73,0.802089
2015,"Food service managers","119051","Computer and Information Sciences and Support Services","11",60424.5,14711.8,5681,2212.57,0.737412
2015,"Computer & information research scientists","151111","Computer and Information Sciences and Support Services","11",89464.1,12910.1,5583,1224.28,8.63744
2015,"Human resources workers","131070","Computer and Information Sciences and Support Services","11",93505.7,39830.6,5547,1360.18,0.340273
2015,"Secondary school teachers","252030","Computer and Information Sciences and Support Services","11",53602.8,8630.93,5431,1472.8,0.196519
2015,"Other Physical Scientists","192099","Computer and Information Sciences and Support Services","11",83901.7,17842.1,5349,1811.96,0.66997
2015,"Physicians & surgeons","291060","Computer and Information Sciences and Support Services","11",234584.0,45733.0,5245,1368.49,0.165317
2015,"Other teachers & instructors","253000","Computer and Information Sciences and Support Services","11",58916.2,14323.5,5090,1609.63,0.368926
2015,"Laborers & freight, stock, & material movers, hand","537062","Computer and Information Sciences and Support Services","11",28986.2,8939.61,4968,1536.65,1.13701
2015,"Human resources managers","113121","Computer and Information Sciences and Support Services","11",129337.0,14721.6,4938,1069.8,0.571649
2015,"Cashiers","412010","Computer and Information Sciences and Support Services","11",18831.1,4989.69,4911,1406.68,0.571131
2015,"Firstline supervisors of production & operating workers","511011","Computer and Information Sciences and Support Services","11",89234.2,16971.7,4816,1424.53,0.885931
2015,"Waiters & waitresses","353031","Computer and Information Sciences and Support Services","11",20562.5,3154.06,4678,1701.53,0.494858
2015,"Stock clerks & order fillers","435081","Computer and Information Sciences and Support Services","11",24512.2,5770.86,4427,1648.2,0.877074
2015,"Mechanical engineers","172141","Computer and Information Sciences and Support Services","11",88009.0,16619.8,4406,1378.37,0.634714
2015,"Miscellaneous office & administrative support workers, including desktop publishers","439XXX","Computer and Information Sciences and Support Services","11",36382.0,5400.99,4398,1118.65,0.529544
2015,"Medical & health services managers","119111","Computer and Information Sciences and Support Services","11",113841.0,23787.9,4340,1188.86,0.291243
2015,"Financial analysts","132051","Computer and Information Sciences and Support Services","11",125057.0,32346.1,4340,1149.1,0.602372
2015,"Data entry keyers","439021","Computer and Information Sciences and Support Services","11",41409.0,7762.04,4212,1101.51,1.49123
2015,"Construction managers","119021","Computer and Information Sciences and Support Services","11",61452.4,16502.6,4165,1797.27,0.585156
2015,"Teacher assistants","259041","Computer and Information Sciences and Support Services","11",22086.2,7349.9,4159,1364.43,0.458016
2015,"Personal financial advisors","132052","Computer and Information Sciences and Support Services","11",128309.0,34235.4,4120,1179.74,0.425135
2015,"Counselors","211010","Computer and Information Sciences and Support Services","11",46255.9,8775.55,3982,1359.05,0.187692
2015,"Aerospace engineers","172011","Computer and Information Sciences and Support Services","11",98654.0,7592.89,3804,1198.69,1.03056
2015,"Police officers","333050","Computer and Information Sciences and Support Services","11",67652.5,10832.5,3739,1182.71,0.370695
2015,"Industrial engineers, including health & safety","172110","Computer and Information Sciences and Support Services","11",89359.1,12157.1,3699,1251.88,0.751148
2015,"Social workers","211020","Computer and Information Sciences and Support Services","11",41525.3,7313.03,3643,1110.63,0.156964
